国内,#genre#
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,http://74.91.26.218:82/live/j2.m3u8
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
POPC,http://tl.061833.xyz/tl/popc
NOW直播台,http://rihou.cc:555/tv/[Mt]Now直播
Now新闻,http://cdn.163189.xyz/163189/now
NOW体育台,http://rihou.cc:555/tv/[Mt]Now体育
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
CHU,http://cdn6.163189.xyz/163189/chu
CH8,http://cdn6.163189.xyz/163189/ch8
CH5,http://cdn6.163189.xyz/163189/ch5
ASTV亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
Astro AOD,https://o11.163189.xyz/stream/live/aod/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
重温经典,http://8.138.7.223/tv/cwjd.php
中视,rtmp://f13h.mine.nu/sat/tv091
耀才财经台,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
星空音乐,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
香港卫视,http://101.35.240.114:88/live.php?id=香港卫视
五星体育,http://101.35.240.114:88/live.php?id=五星体育
无线新闻,https://cdn6.163189.xyz/163189/wxxw
无线新闻,http://74.91.26.218:82/live/inews.m3u8
无线新闻,http://r.jdshipin.com/CkuBd
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
唐NTD,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
台视综合,http://iptv.4666888.xyz/iptv2A.php?id=51

国际,#genre#
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
龙华日韩,http://rihou.cc:555/tv/[Pd]龙华日韩
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
Trace Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
